"Group"	"Score"
"control"	15
"control"	16
"control"	17
"control"	16
"control"	15
"control"	16
"control"	17
"control"	16
"control"	16
"control"	17
"control"	16
"control"	15
"control"	16
"control"	15
"control"	16
"control"	16
"control"	15
"control"	16
"control"	16
"control"	15
"control"	16
"control"	15
"control"	17
"control"	17
"control"	15
"control"	15
"control"	16
"control"	16
"control"	16
"control"	16
"treat"	13
"treat"	11
"treat"	12
"treat"	11
"treat"	12
"treat"	13
"treat"	13
"treat"	12
"treat"	12
"treat"	12
"treat"	13
"treat"	12
"treat"	13
"treat"	12
"treat"	13
"treat"	11
"treat"	12
"treat"	13
"treat"	13
"treat"	12
"treat"	13
"treat"	15
"treat"	13
"treat"	12
"treat"	10
"treat"	14
"treat"	13
"treat"	12
"treat"	12
"treat"	12
